assemblyId	taxId	taxIdSpecies	taxNameSpecies	taxIdGenus	taxNameGenus	fa	mmi
GCF_002155285.1	1309	1309	Streptococcus_mutans	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Chromosome/Streptococcus_mutans_strain_KCOM_1054__ChDC_YM3-tax1309-GCF_002155285.1_ASM215528v1_genomic-dustmasked.fna	minimap2/Streptococcus_mutans_strain_KCOM_1054__ChDC_YM3-tax1309-GCF_002155285.1_ASM215528v1_genomic-dustmasked.mmi
GCF_900638045.1	1309	1309	Streptococcus_mutans	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Complete_Genome/Streptococcus_mutans_strain_NCTC10920-tax1309-GCF_900638045.1_55312_G01_genomic-dustmasked.fna	minimap2/Streptococcus_mutans_strain_NCTC10920-tax1309-GCF_900638045.1_55312_G01_genomic-dustmasked.mmi
GCF_001558215.1	1309	1309	Streptococcus_mutans	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Complete_Genome/Streptococcus_mutans_strain_NG8-tax1309-GCF_001558215.1_ASM155821v1_genomic-dustmasked.fna	minimap2/Streptococcus_mutans_strain_NG8-tax1309-GCF_001558215.1_ASM155821v1_genomic-dustmasked.mmi
GCF_002995555.1	1309	1309	Streptococcus_mutans	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Complete_Genome/Streptococcus_mutans_strain_LAR01-tax1309-GCF_002995555.1_ASM299555v1_genomic-dustmasked.fna	minimap2/Streptococcus_mutans_strain_LAR01-tax1309-GCF_002995555.1_ASM299555v1_genomic-dustmasked.mmi
GCF_900636835.1	1309	1309	Streptococcus_mutans	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Complete_Genome/Streptococcus_mutans_strain_NCTC10832-tax1309-GCF_900636835.1_44503_F02_genomic-dustmasked.fna	minimap2/Streptococcus_mutans_strain_NCTC10832-tax1309-GCF_900636835.1_44503_F02_genomic-dustmasked.mmi
GCF_000284575.1	1155071	1309	Streptococcus_mutans	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Complete_Genome/Streptococcus_mutans_LJ23-tax1155071-GCF_000284575.1_ASM28457v1_genomic-dustmasked.fna	minimap2/Streptococcus_mutans_LJ23-tax1155071-GCF_000284575.1_ASM28457v1_genomic-dustmasked.mmi
GCF_000091645.1	511691	1309	Streptococcus_mutans	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Complete_Genome/Streptococcus_mutans_NN2025-tax511691-GCF_000091645.1_ASM9164v1_genomic-dustmasked.fna	minimap2/Streptococcus_mutans_NN2025-tax511691-GCF_000091645.1_ASM9164v1_genomic-dustmasked.mmi
GCF_900475095.1	1309	1309	Streptococcus_mutans	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Complete_Genome/Streptococcus_mutans_strain_NCTC10449-tax1309-GCF_900475095.1_42197_E01_genomic-dustmasked.fna	minimap2/Streptococcus_mutans_strain_NCTC10449-tax1309-GCF_900475095.1_42197_E01_genomic-dustmasked.mmi
GCF_000007465.2	210007	1309	Streptococcus_mutans	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Complete_Genome/Streptococcus_mutans_UA159-tax210007-GCF_000007465.2_ASM746v2_genomic-dustmasked.fna	minimap2/Streptococcus_mutans_UA159-tax210007-GCF_000007465.2_ASM746v2_genomic-dustmasked.mmi
GCF_000271865.1	1198676	1309	Streptococcus_mutans	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Complete_Genome/Streptococcus_mutans_GS_5-tax1198676-GCF_000271865.1_ASM27186v1_genomic-dustmasked.fna	minimap2/Streptococcus_mutans_GS_5-tax1198676-GCF_000271865.1_ASM27186v1_genomic-dustmasked.mmi
GCF_000817065.1	1437447	1309	Streptococcus_mutans	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Complete_Genome/Streptococcus_mutans_UA159_FR-tax1437447-GCF_000817065.1_ASM81706v1_genomic-dustmasked.fna	minimap2/Streptococcus_mutans_UA159_FR-tax1437447-GCF_000817065.1_ASM81706v1_genomic-dustmasked.mmi
