sampleId	site	country	region	groupLabel	latitude	longitude	dataSource	age14C	se14C	ageHigh	ageLow	ageAverage	datingSource	material	sex	ageClass	callset	coverageHuman	flagHuman	clusterLabel	siteType	clusterAlias
NEO834	Mora Cavorso	Italy	SouthernEurope	Italy_Neolithic	41.87	13.283	thisStudy	6499	NA	7502	7318	7410	direct	Tooth	XY	Adult	sg.impute	0.08356084	lowcov;lowGpAvg	NA	cave	NA
NEO695	Maddalena di Muccia	Italy	SouthernEurope	Italy_Neolithic	43.075	13.059	thisStudy	6608	NA	7421	7167	7294	direct	Tooth	XX	Adult	sg.impute	0.431411103	0	EuropeS_8000BP_6000BP	settlement	Farmer_Europe_early
NEO830	Fontenoce	Italy	SouthernEurope	Italy_Neolithic	43.383	13.55	thisStudy	4661	NA	5466	5319	5393	direct	Tooth	XX	Adult	sg.impute	0.104506976	0	EuropeSW_6000BP_3500BP	cemetery	Farmer_EuropeW_late
NEO828	Gaudo	Italy	SouthernEurope	Italy_Neolithic	40.416	15.066	thisStudy	4400	NA	4839	4652	4746	context	Tooth	XY	NA	sg.impute	0.087017948	lowcov;lowGpAvg	NA	cemetery	NA
RISE487	Lombardy, Remedello di Sotto	Italy	SouthernEurope	Italy_Neolithic	45.26	10.38	Allentoft_2015_Nature	4557	NA	5433	5057	5245	direct	Tooth	XY	Juvenile	sg.impute	0.219958982	1d_rel_RISE489	NA	NA	NA
RISE489	Lombardy, Remedello di Sotto	Italy	SouthernEurope	Italy_Neolithic	45.26	10.38	Allentoft_2015_Nature	4185	NA	4858	4528	4693	direct	Tooth	XY	Adult	sg.impute	0.50758911	0	EuropeSW_6000BP_3500BP	NA	Farmer_EuropeW_late
RISE486	Lombardy, Remedello di Sotto	Italy	SouthernEurope	Italy_Neolithic	45.26	10.38	Allentoft_2015_Nature	3595	NA	4084	3723	3903.5	direct	Tooth	XY	Adult	sg.impute	0.164590033	1d_rel_RISE489	NA	NA	NA
NEO806	Grotta Delle Mura	Italy	SouthernEurope	Italy_BronzeAge	40.957	17.29	thisStudy	3014	NA	3141	2885	3013	direct	Tooth	XY	NA	sg.impute	1.328526473	0	Europe_3000BP_300BP	cave	PostNeol_Levant_MedE
NEO823	Grotta Nisco	Italy	SouthernEurope	Italy_Chalcolithic	40.883	16.733	thisStudy	4100	NA	4802	4527	4665	context	Tooth	XY	NA	sg.impute	0.404577629	0	Italy_5500BP_4000BP	cave	Farmer_EuropeW_late
VK534	Foggia	Italy	SouthernEurope	Italy_Medieval	41.42	15.58	Margyaran_2020_Nature	NA	NA	910	690	800	direct	Bone_petrous	XY	NA	sg.impute	1.208554882	0	LevantEuropeS_4700BP_1700BP	NA	PostNeol_Levant_MedE
VK535	Foggia	Italy	SouthernEurope	Italy_Medieval	41.42	15.58	Margyaran_2020_Nature	NA	NA	760	665	713	direct	Bone_petrous	XY	NA	sg.impute	1.292159122	0	Europe_3000BP_300BP	NA	PostNeol_Levant_MedE
VK536	Foggia	Italy	SouthernEurope	Italy_Medieval	41.34	15.26	Margyaran_2020_Nature	NA	NA	850	550	700	context	Bone_petrous	XX	NA	sg.impute	1.060418976	0	Europe_3000BP_300BP	NA	PostNeol_Levant_MedE
VK537	Foggia	Italy	SouthernEurope	Italy_Medieval	41.34	15.26	Margyaran_2020_Nature	NA	NA	850	550	700	context	Bone_petrous	XX	NA	sg.impute	1.412639075	0	Europe_3000BP_300BP	NA	PostNeol_Levant_MedE
VK538	Foggia	Italy	SouthernEurope	Italy_Medieval	41.34	15.26	Margyaran_2020_Nature	NA	NA	850	550	700	context	Bone_petrous	XY	NA	sg.impute	1.255936887	0	EuropeNE_1200BP_700BP	NA	PostNeol_EuropeE
NEO694	Santa Maira	Spain	SouthernEurope	Iberia_Mesolithic	38.73	-0.463	thisStudy	8540	NA	9598	9446	9522	direct	Tooth	XY	NA	sg.impute	0.284758834	0	Iberia_9000BP_7000BP	cave	HG_EuropeW
NEO646	El Mazo	Spain	SouthernEurope	Iberia_Mesolithic	43.404	-4.707	thisStudy	7642	NA	8365	8182	8274	direct	Tooth	XX	Adult	sg.impute	1.590267827	0	Iberia_9000BP_7000BP	rock shelter	HG_EuropeW
NEO938	El Mazo	Spain	SouthernEurope	Iberia_Mesolithic	43.404	-4.707	thisStudy	7178	NA	7966	7789	7878	direct	Tooth	XX	Adult	sg.impute	0.475151457	0	Iberia_9000BP_7000BP	rock shelter	HG_EuropeW
NEO648	El Toral III	Spain	SouthernEurope	Iberia_Mesolithic	43.402	-4.707	thisStudy	6812	NA	7616	7432	7524	direct	Tooth	XY	Adult	sg.impute	1.844283075	0	Iberia_9000BP_7000BP	rock shelter	HG_EuropeW
