MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_GENUS	N_GENUS	p_MODERN	N_MODERN	p_MAG	N_MAG
Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	24.814038187588597	4.089781166785919e-6	2.6174599467429884e-4	GENUS	M00053	Streptococcus_agalactiae,Streptococcus_dysgalactiae,Streptococcus_equi,Streptococcus_gallolyticus,Streptococcus_iniae,Streptococcus_intermedius,Streptococcus_lutetiensis,Streptococcus_parauberis,Streptococcus_pneumoniae,Streptococcus_sobrinus,Streptococcus_suis,Streptococcus_thermophilus,Streptococcus_uberis	0.8666666666666667	15	0	10	0	7
Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	21.760070542605785	1.88304508707732e-5	6.025744278647424e-4	GENUS	M00052	Streptococcus_agalactiae,Streptococcus_dysgalactiae,Streptococcus_equi,Streptococcus_gallolyticus,Streptococcus_intermedius,Streptococcus_lutetiensis,Streptococcus_parauberis,Streptococcus_pneumoniae,Streptococcus_sobrinus,Streptococcus_suis,Streptococcus_thermophilus,Streptococcus_uberis	0.8	15	0	10	0	7
Ornithine biosynthesis, glutamate => ornithine	16.48589250938138	2.6310792343561985e-4	0.0030390370621117837	MODERN,MAG	M00028	CGG100272,CGG100534,CGG101233,MUTREF1,MUTREF10,MUTREF2,MUTREF3,MUTREF4,MUTREF5,MUTREF6,MUTREF7,MUTREF8,MUTREF9,NEO105,NEO137,NEO938,Streptococcus_gallolyticus,Streptococcus_gordonii,Streptococcus_lutetiensis,Streptococcus_sobrinus,Streptococcus_thermophilus,VK63	0.3333333333333333	15	1	10	1	7
Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	16.485892509381365	2.6310792343562175e-4	0.0030390370621117837	GENUS	M00632	Streptococcus_equi,Streptococcus_gallolyticus,Streptococcus_gordonii,Streptococcus_iniae,Streptococcus_intermedius,Streptococcus_lutetiensis,Streptococcus_parauberis,Streptococcus_pneumoniae,Streptococcus_suis,Streptococcus_thermophilus	0.6666666666666666	15	0	10	0	7
Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	16.485892509381365	2.6310792343562175e-4	0.0030390370621117837	GENUS	M00308	Streptococcus_agalactiae,Streptococcus_dysgalactiae,Streptococcus_equi,Streptococcus_iniae,Streptococcus_intermedius,Streptococcus_parauberis,Streptococcus_pneumoniae,Streptococcus_pyogenes,Streptococcus_suis,Streptococcus_uberis	0.6666666666666666	15	0	10	0	7
Cysteine biosynthesis, serine => cysteine	16.326676367515294	2.849097245729797e-4	0.0030390370621117837	GENUS,MODERN	M00021	CGG101233,MUTREF1,MUTREF10,MUTREF2,MUTREF3,MUTREF4,MUTREF5,MUTREF6,MUTREF7,MUTREF8,MUTREF9,NEO105,NEO137,Streptococcus_agalactiae,Streptococcus_dysgalactiae,Streptococcus_equi,Streptococcus_gallolyticus,Streptococcus_gordonii,Streptococcus_iniae,Streptococcus_intermedius,Streptococcus_lutetiensis,Streptococcus_parauberis,Streptococcus_pneumoniae,Streptococcus_pyogenes,Streptococcus_sobrinus,Streptococcus_suis,Streptococcus_thermophilus,Streptococcus_uberis	1	15	1	10	0.42857142857142855	7
Histidine biosynthesis, PRPP => histidine	15.827341902752924	3.6570961124615485e-4	0.0033436307313934157	MODERN,MAG	M00026	CGG100272,CGG100534,CGG101233,MUTREF1,MUTREF10,MUTREF2,MUTREF3,MUTREF4,MUTREF5,MUTREF6,MUTREF7,MUTREF8,MUTREF9,NEO105,NEO137,Streptococcus_gallolyticus,Streptococcus_gordonii,Streptococcus_lutetiensis,Streptococcus_sobrinus,VK63	0.26666666666666666	15	1	10	0.8571428571428571	7
Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	14.191304462279163	8.287000985901928e-4	0.005892978478863593	MODERN,MAG	M00432	CGG100272,CGG100534,CGG101233,MUTREF1,MUTREF10,MUTREF2,MUTREF3,MUTREF4,MUTREF5,MUTREF6,MUTREF7,MUTREF8,MUTREF9,NEO105,NEO137,NEO938,Streptococcus_gallolyticus,Streptococcus_gordonii,Streptococcus_lutetiensis,Streptococcus_sobrinus,Streptococcus_suis,Streptococcus_thermophilus,VK63	0.4	15	1	10	1	7
Tryptophan biosynthesis, chorismate => tryptophan	14.191304462279163	8.287000985901928e-4	0.005892978478863593	MODERN,MAG	M00023	CGG100272,CGG100534,CGG101233,MUTREF1,MUTREF10,MUTREF2,MUTREF3,MUTREF4,MUTREF5,MUTREF6,MUTREF7,MUTREF8,MUTREF9,NEO105,NEO137,NEO938,Streptococcus_gallolyticus,Streptococcus_gordonii,Streptococcus_lutetiensis,Streptococcus_pneumoniae,Streptococcus_sobrinus,Streptococcus_thermophilus,VK63	0.4	15	1	10	1	7
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	13.424155269442874	0.0012161348141041934	0.007781016669512031	MODERN,MAG	M00010	CGG100272,CGG100534,CGG101233,MUTREF1,MUTREF10,MUTREF2,MUTREF3,MUTREF4,MUTREF5,MUTREF6,MUTREF7,MUTREF8,MUTREF9,NEO105,NEO137,NEO938,Streptococcus_gordonii,Streptococcus_lutetiensis,Streptococcus_sobrinus,Streptococcus_suis,Streptococcus_thermophilus	0.3333333333333333	15	1	10	0.8571428571428571	7
Adenine ribonucleotide degradation, AMP => Urate	13.234112165151007	0.0013373622400723803	0.007781016669512031	MODERN,MAG	M00958	CGG100272,CGG100534,CGG101233,MUTREF1,MUTREF10,MUTREF2,MUTREF3,MUTREF4,MUTREF5,MUTREF6,MUTREF7,MUTREF8,NEO105,NEO137,NEO938,Streptococcus_dysgalactiae,Streptococcus_equi,Streptococcus_sobrinus,Streptococcus_suis,Streptococcus_thermophilus,VK63	0.3333333333333333	15	0.9	10	1	7
Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	12.088889124723831	0.002370997414513525	0.011672602656066585	MODERN,MAG	M00570	CGG100272,CGG100534,CGG101233,MUTREF1,MUTREF10,MUTREF2,MUTREF3,MUTREF4,MUTREF5,MUTREF6,MUTREF7,MUTREF8,MUTREF9,NEO105,NEO137,NEO938,Streptococcus_gallolyticus,Streptococcus_gordonii,Streptococcus_lutetiensis,Streptococcus_pneumoniae,Streptococcus_sobrinus,Streptococcus_suis,Streptococcus_thermophilus,VK63	0.4666666666666667	15	1	10	1	7
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	12.088889124723831	0.002370997414513525	0.011672602656066585	MODERN,MAG	M00019	CGG100272,CGG100534,CGG101233,MUTREF1,MUTREF10,MUTREF2,MUTREF3,MUTREF4,MUTREF5,MUTREF6,MUTREF7,MUTREF8,MUTREF9,NEO105,NEO137,NEO938,Streptococcus_gallolyticus,Streptococcus_gordonii,Streptococcus_lutetiensis,Streptococcus_pneumoniae,Streptococcus_sobrinus,Streptococcus_suis,Streptococcus_thermophilus,VK63	0.4666666666666667	15	1	10	1	7
C1-unit interconversion, prokaryotes	11.822786392862284	0.0027084109092449455	0.01238130701369118	GENUS,MODERN	M00140	CGG100272,CGG101233,MUTREF1,MUTREF10,MUTREF2,MUTREF3,MUTREF4,MUTREF5,MUTREF6,MUTREF7,MUTREF8,MUTREF9,NEO105,NEO137,Streptococcus_agalactiae,Streptococcus_dysgalactiae,Streptococcus_equi,Streptococcus_gallolyticus,Streptococcus_gordonii,Streptococcus_iniae,Streptococcus_intermedius,Streptococcus_lutetiensis,Streptococcus_parauberis,Streptococcus_pneumoniae,Streptococcus_pyogenes,Streptococcus_sobrinus,Streptococcus_suis,Streptococcus_thermophilus,Streptococcus_uberis	1	15	1	10	0.5714285714285714	7
