module	CGG100272	CGG100534	CGG101233	MUTREF1	MUTREF10	MUTREF2	MUTREF3	MUTREF4	MUTREF5	MUTREF6	MUTREF7	MUTREF8	MUTREF9	NEO105	NEO137	NEO938	Streptococcus_agalactiae	Streptococcus_dysgalactiae	Streptococcus_equi	Streptococcus_gallolyticus	Streptococcus_gordonii	Streptococcus_iniae	Streptococcus_intermedius	Streptococcus_lutetiensis	Streptococcus_parauberis	Streptococcus_pneumoniae	Streptococcus_pyogenes	Streptococcus_sobrinus	Streptococcus_suis	Streptococcus_thermophilus	Streptococcus_uberis	VK63
M00001	0.8888888888888888	0.7777777777777778	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	1.0	1.0	1.0	1.0	1.0	0.8888888888888888	1.0	1.0	0.8888888888888888	1.0	1.0	0.8888888888888888	1.0	1.0	1.0	0.8888888888888888
M00002	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00003	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.7142857142857143	0.8571428571428571	1.0	1.0	1.0	0.8571428571428571	1.0	0.7142857142857143	0.7142857142857143	0.8571428571428571	0.7142857142857143	0.7142857142857143	1.0	0.7142857142857143
M00004	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.8333333333333334	0.5	0.8333333333333334	0.8333333333333334	0.6666666666666666	0.5	0.8333333333333334	0.5	0.8333333333333334	0.5
M00005	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.5	1.0	0.0	0.0	1.0	0.0	0.5	0.0
M00007	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	1.0	1.0	1.0	1.0	0.5	1.0	0.75	0.75	1.0	0.75	1.0	0.75	0.75	0.75	1.0	0.75
M00008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.25	0.5	0.5	0.75	0.0	0.5	0.75	0.25	0.25	0.75	0.0	0.5	0.0
M00009	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.0	0.0	0.0	0.25	0.375	0.0	0.0	0.375	0.0	0.0	0.0	0.375	0.375	0.375	0.0	0.125
M00010	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.6666666666666666	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.3333333333333333
M00012	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.0	0.0	0.0	0.2	0.4	0.0	0.0	0.4	0.0	0.0	0.0	0.4	0.4	0.4	0.0	0.2
M00014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.125	0.0	0.125	0.125	0.0	0.125	0.0	0.125	0.0	0.125	0.0
M00015	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00016	0.6666666666666666	0.4444444444444444	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.2222222222222222	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.7777777777777778	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.1111111111111111	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666
