module	class	category	subcategory	name
M00001	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00002	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Glycolysis, core module involving three-carbon compounds
M00003	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Gluconeogenesis, oxaloacetate => fructose-6P
M00307	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Pyruvate oxidation, pyruvate => acetyl-CoA
M00009	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Citrate cycle (TCA cycle, Krebs cycle)
M00010	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
M00011	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00004	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Pentose phosphate pathway (Pentose phosphate cycle)
M00006	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
M00007	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00580	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P
M00005	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	PRPP biosynthesis, ribose 5P => PRPP
M00008	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00308	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
M00633	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P
M00309	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate
M00014	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Glucuronate pathway (uronate pathway)
M00630	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	D-Galacturonate degradation (fungi), D-galacturonate => glycerol
M00631	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P
M00061	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
M00081	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Pectin degradation
M00632	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P
M00552	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P
M00129	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Ascorbate biosynthesis, animals, glucose-1P => ascorbate
M00114	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
M00550	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Ascorbate degradation, ascorbate => D-xylulose-5P
M00854	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Glycogen biosynthesis, glucose-1P => glycogen/starch
M00855	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Glycogen degradation, glycogen => glucose-6P
M00565	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Trehalose biosynthesis, D-glucose 1P => trehalose
M00549	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Nucleotide sugar biosynthesis, glucose => UDP-glucose
M00554	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Nucleotide sugar biosynthesis, galactose => UDP-galactose
M00892	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc
M00909	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc
M00761	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N
M00012	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Glyoxylate cycle
M00373	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Ethylmalonyl pathway
M00740	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Methylaspartate cycle
M00532	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Photorespiration
M00013	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
M00741	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA
M00968	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate
M00130	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4
