sample_id	group
CGG101233	Cluster_D_ancient
VK63	Cluster_D_ancient
NEO137	Cluster_D_ancient
NEO105	Cluster_A_ancient
CGG100272	ancient_low_cov
CGG100534	ancient_low_cov
VK35	ancient_low_cov
RISE569	ancient_low_cov
RISE540	ancient_low_cov
RISE413	ancient_low_cov
RISE349	ancient_low_cov
RISE373	ancient_low_cov
DA104	ancient_low_cov
NEO31	ancient_low_cov
DA112	ancient_low_cov
DA223	ancient_low_cov
DA246	ancient_low_cov
DA195	ancient_low_cov
VK146	ancient_low_cov
CGG_2_18521	ancient_low_cov
NEO170	ancient_low_cov
VK441	ancient_low_cov
NEO160	ancient_low_cov
NEO938	ancient_low_cov
NEO65	ancient_low_cov
GCF_000340035N1	Cluster_A
GCF_015668935N1	Cluster_A
GCF_028326065N1	Cluster_A
GCF_000229125N1	Cluster_A
GCF_012642105N1	Cluster_A
GCF_023109585N1	Cluster_A
GCF_012642125N1	Cluster_A
GCF_012641905N1	Cluster_A
GCF_012641825N1	Cluster_A
GCF_000229185N1	Cluster_A
GCF_000339115N1	Cluster_A
GCF_000229625N1	Cluster_A
GCF_012642325N1	Cluster_A
GCF_015669655N1	Cluster_A
GCF_000229025N1	Cluster_A
GCF_000339135N1	Cluster_A
GCF_000229145N1	Cluster_A
GCF_000229765N1	Cluster_A
GCF_000522605N1	Cluster_A
GCF_000522685N1	Cluster_A
GCF_012641615N1	Cluster_A
GCF_012642225N1	Cluster_A
GCF_000230065N1	Cluster_A
GCF_012642365N1	Cluster_A
GCF_000229725N1	Cluster_A
GCF_000339675N1	Cluster_A
GCF_000339695N1	Cluster_A
GCF_000339775N1	Cluster_A
GCF_000339795N1	Cluster_A
GCF_000230205N1	Cluster_A
GCF_001625005N1	Cluster_A
GCF_001703615N1	Cluster_A
GCF_000522865N1	Cluster_A
GCF_012641965N1	Cluster_A
GCF_000339095N1	Cluster_A
GCF_000522625N1	Cluster_A
GCF_000522725N1	Cluster_A
GCF_000347875N1	Cluster_A
GCF_000339755N1	Cluster_A
GCF_000375505N1	Cluster_A
GCF_008831325N1	Cluster_A
GCF_027683265N1	Cluster_A
GCF_000229305N1	Cluster_A
GCF_002995555N1	Cluster_A
GCF_000339055N1	Cluster_A
GCF_012641925N1	Cluster_A
GCF_000339255N1	Cluster_A
GCF_000340015N1	Cluster_A
GCF_000340135N1	Cluster_A
GCF_000339315N1	Cluster_A
GCF_027658645N1	Cluster_A
GCF_000271865N1	Cluster_A
GCF_015670285N1	Cluster_A
GCF_000339295N1	Cluster_A
GCF_012642035N1	Cluster_A
GCF_000340175N1	Cluster_A
GCF_000347815N1	Cluster_A
GCF_000007465N2	Cluster_A
GCF_000339595N1	Cluster_A
GCF_018588825N1	Cluster_A
GCF_024762155N1	Cluster_A
GCF_000339975N1	Cluster_A
GCF_000230025N1	Cluster_A
GCF_000230145N1	Cluster_A
GCF_000228825N1	Cluster_A
GCF_000229645N1	Cluster_A
GCF_000229065N1	Cluster_A
GCF_000229985N1	Cluster_A
GCF_000230125N1	Cluster_A
GCF_000229165N1	Cluster_A
GCF_000347795N1	Cluster_A
GCF_012642275N1	Cluster_A
GCF_000228885N1	Cluster_B
GCF_000229505N1	Cluster_B
GCF_000339155N1	Cluster_B
GCF_018588785N1	Cluster_B
GCF_000522925N1	Cluster_B
GCF_012642205N1	Cluster_B
GCF_012642305N1	Cluster_B
GCF_028326125N1	Cluster_B
GCF_028326145N1	Cluster_B
GCF_000339375N1	Cluster_B
GCF_000496555N1	Cluster_B
GCF_000230005N1	Cluster_B
GCF_000522845N1	Cluster_B
GCF_000496535N1	Cluster_B
GCF_000339075N1	Cluster_B
GCF_000229205N1	Cluster_B
GCF_002155285N1	Cluster_B
GCF_003466855N1	Cluster_B
GCF_012641935N1	Cluster_B
GCF_000229605N1	Cluster_B
GCF_012642055N1	Cluster_B
GCF_015670115N1	Cluster_B
GCF_012642265N1	Cluster_B
GCF_028325945N1	Cluster_B
GCF_000229585N1	Cluster_B
GCF_012641665N1	Cluster_B
GCF_000229805N1	Cluster_B
GCF_000522905N1	Cluster_B
GCF_000522585N1	Cluster_B
GCF_012641855N1	Cluster_B
GCF_012642345N1	Cluster_B
GCF_002212935N1	Cluster_B
GCF_001073145N1	Cluster_B
GCF_000522825N1	Cluster_B
GCF_009738105N1	Cluster_B
GCF_000339955N1	Cluster_B
GCF_012642355N1	Cluster_B
GCF_001558215N1	Cluster_B
GCF_026782725N1	Cluster_B
GCF_000229705N1	Cluster_B
GCF_000230105N1	Cluster_B
GCF_000228945N1	Cluster_B
GCF_000229965N1	Cluster_B
GCF_000230085N1	Cluster_B
GCF_000228865N1	Cluster_B
GCF_000229245N1	Cluster_B
GCF_000229925N1	Cluster_B
GCF_000229045N1	Cluster_B
GCF_012641775N1	Cluster_B
GCF_000339195N1	Cluster_B
GCF_018588765N1	Cluster_B
GCF_000229385N1	Cluster_C
GCF_000229465N1	Cluster_C
GCF_012642165N1	Cluster_C
