# Annotated with Bakta
# Software: v1.9.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	878	1159	-	FGANDE_00005		Small ribosomal subunit protein uS11	SO:0001217, UniRef:UniRef50_W7CVX6
contig_2	cds	272	1174	+	FGANDE_00010	yigB	FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis)	COG:COG1011, COG:H, RefSeq:WP_002264801.1, SO:0001217, UniParc:UPI000264EE1E, UniRef:UniRef100_UPI000264EE1E, UniRef:UniRef50_A0A2D4DQW0, UniRef:UniRef90_Q8DUW7
contig_3	cds	144	494	+	FGANDE_00015		NAD(P)H-dependent oxidoreductase	SO:0001217, UniRef:UniRef50_UPI001EFF7193
contig_4	cds	3	719	+	FGANDE_00020	queE	7-carboxy-7-deazaguanine synthase QueE	EC:4.3.99.3, GO:0006400, GO:0051539, GO:1904047, KEGG:K10026, SO:0001217, UniRef:UniRef50_A0A1L7LJR9, UniRef:UniRef90_A0A1L7LJR9
contig_4	cds	732	1220	+	FGANDE_00025	queF	preQ(1) synthase	EC:1.7.1.13, GO:0005737, GO:0008616, GO:0033739, RefSeq:WP_002270897.1, SO:0001217, UniParc:UPI0002B4DEEE, UniRef:UniRef100_UPI0002B4DEEE, UniRef:UniRef50_Q65KI3, UniRef:UniRef90_Q8DUL0
contig_4	cds	1329	1712	+	FGANDE_00030		DUF3021 domain-containing protein	RefSeq:WP_002270896.1, SO:0001217, UniParc:UPI0002B50A02, UniRef:UniRef100_UPI0002B50A02, UniRef:UniRef50_Q8DUL1, UniRef:UniRef90_Q8DUL1
contig_5	cds	25	1671	+	FGANDE_00035	ilvB	acetolactate synthase large subunit	COG:COG0028, COG:EH, SO:0001217, UniRef:UniRef50_T0D5T0, UniRef:UniRef90_Q8DW45
contig_5	cds	1664	2146	+	FGANDE_00040	ilvN	acetolactate synthase small subunit	COG:COG0440, COG:E, EC:2.2.1.6, GO:0009082, GO:1990610, RefSeq:WP_002262761.1, SO:0001217, UniParc:UPI00000E2D78, UniRef:UniRef100_A0A2J9QGE8, UniRef:UniRef50_Q02140, UniRef:UniRef90_J2ZZD7
contig_5	cds	2212	3234	+	FGANDE_00045	ilvC	ketol-acid reductoisomerase	COG:COG0059, COG:EH, EC:1.1.1.86, GO:0000287, GO:0004455, GO:0009097, GO:0009099, GO:0050661, KEGG:K00053, RefSeq:WP_002262760.1, SO:0001217, UniParc:UPI00000E2D79, UniRef:UniRef100_Q8DW43, UniRef:UniRef50_D0WGK0, UniRef:UniRef90_Q8DW43
contig_5	cds	3470	4720	+	FGANDE_00050	ilvA	threonine ammonia-lyase IlvA	COG:COG1171, COG:E, EC:4.3.1.19, GO:0004794, GO:0006520, RefSeq:WP_002262759.1, SO:0001217, UniParc:UPI00000E2D7A, UniRef:UniRef100_Q8DW42, UniRef:UniRef50_Q02145, UniRef:UniRef90_Q8DW42
