assemblyId	taxId	taxIdSpecies	taxNameSpecies	taxIdGenus	taxNameGenus	fa	mmi
GCF_000448605.1	1316412	1316412	Streptococcus_sp._HSISS3	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Chromosome/Streptococcus_sp_HSISS3-tax1316412-GCF_000448605.1_HSISS3_1.0_genomic-dustmasked.fna	minimap2/Streptococcus_sp_HSISS3-tax1316412-GCF_000448605.1_HSISS3_1.0_genomic-dustmasked.mmi
GCF_000187935.1	873447	1348	Streptococcus_parauberis	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Chromosome/Streptococcus_parauberis_NCFD_2020-tax873447-GCF_000187935.1_ASM18793v2_genomic-dustmasked.fna	minimap2/Streptococcus_parauberis_NCFD_2020-tax873447-GCF_000187935.1_ASM18793v2_genomic-dustmasked.mmi
GCF_000448565.1	1316408	1316408	Streptococcus_sp._HSISM1	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Chromosome/Streptococcus_sp_HSISM1-tax1316408-GCF_000448565.1_HSISM1_1.0_genomic-dustmasked.fna	minimap2/Streptococcus_sp_HSISM1-tax1316408-GCF_000448565.1_HSISM1_1.0_genomic-dustmasked.mmi
GCF_000188315.1	663952	1334	Streptococcus_dysgalactiae	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Chromosome/Streptococcus_dysgalactiae_subsp_dysgalactiae_ATCC_27957-tax663952-GCF_000188315.1_ASM18831v1_genomic-dustmasked.fna	minimap2/Streptococcus_dysgalactiae_subsp_dysgalactiae_ATCC_27957-tax663952-GCF_000188315.1_ASM18831v1_genomic-dustmasked.mmi
GCF_000448645.1	1316410	1316410	Streptococcus_sp._HSISS1	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Chromosome/Streptococcus_sp_HSISS1-tax1316410-GCF_000448645.1_HSISS1_1.0_genomic-dustmasked.fna	minimap2/Streptococcus_sp_HSISS1-tax1316410-GCF_000448645.1_HSISS1_1.0_genomic-dustmasked.mmi
GCF_000448625.1	1316409	1316409	Streptococcus_sp._HSISB1	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Chromosome/Streptococcus_sp_HSISB1-tax1316409-GCF_000448625.1_HSISB1_1.0_genomic-dustmasked.fna	minimap2/Streptococcus_sp_HSISB1-tax1316409-GCF_000448625.1_HSISB1_1.0_genomic-dustmasked.mmi
GCF_000448665.1	1316411	1316411	Streptococcus_sp._HSISS2	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Chromosome/Streptococcus_sp_HSISS2-tax1316411-GCF_000448665.1_HSISS2_1.0_genomic-dustmasked.fna	minimap2/Streptococcus_sp_HSISS2-tax1316411-GCF_000448665.1_HSISS2_1.0_genomic-dustmasked.mmi
GCF_001683375.1	712624	712624	Streptococcus_sp._oral_taxon_064	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Chromosome/Streptococcus_sp_oral_taxon_064_strain_W10853-tax712624-GCF_001683375.1_ASM168337v1_genomic-dustmasked.fna	minimap2/Streptococcus_sp_oral_taxon_064_strain_W10853-tax712624-GCF_001683375.1_ASM168337v1_genomic-dustmasked.mmi
GCF_000479315.1	1156433	1156433	Streptococcus_sp._I-P16	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Complete_Genome/Streptococcus_sp_I_P16-tax1156433-GCF_000479315.1_ASM47931v1_genomic-dustmasked.fna	minimap2/Streptococcus_sp_I_P16-tax1156433-GCF_000479315.1_ASM47931v1_genomic-dustmasked.mmi
GCF_002386345.1	1303	1303	Streptococcus_oralis	1301	Streptococcus	/willerslev/scratch/krakenuniq-db/hum_microbe/library/bacteria/Complete_Genome/Streptococcus_oralis_strain_FDAARGOS_367-tax1303-GCF_002386345.1_ASM238634v1_genomic-dustmasked.fna	minimap2/Streptococcus_oralis_strain_FDAARGOS_367-tax1303-GCF_002386345.1_ASM238634v1_genomic-dustmasked.mmi
