# Annotated with Bakta
# Software: v1.9.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	225	365	-	EOLKCF_00005		Bacteriocin	SO:0001217, UniRef:UniRef50_A0A0E4CTU2, UniRef:UniRef90_A0A829BHI6
contig_1	cds	358	1398	-	EOLKCF_00010		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A4Q5BWM4, UniRef:UniRef90_A0A2J9QBV7
contig_2	cds	92	2710	-	EOLKCF_00015	alaS	alanine--tRNA ligase	COG:COG0013, COG:J, EC:6.1.1.7, GO:0000049, GO:0004813, GO:0005524, GO:0005737, GO:0006419, GO:0008270, GO:0016740, SO:0001217, UniRef:UniRef50_P0DG24, UniRef:UniRef90_Q8CWY0
contig_2	cds	2925	3425	-	EOLKCF_00020	yxjI	Putative phospholipid scramblase YxjI, Tubby2 superfamily	COG:COG4894, COG:I, RefSeq:WP_002270613.1, SO:0001217, UniParc:UPI0002B528B9, UniRef:UniRef100_UPI0023AFC391, UniRef:UniRef50_Q8DV58, UniRef:UniRef90_Q8DV58
contig_4	cds	71	403	-	EOLKCF_00025	yjdM	Protein YjdM	COG:COG2824, COG:R, RefSeq:WP_002262169.1, SO:0001217, UniParc:UPI000013198F, UniRef:UniRef100_Q02419, UniRef:UniRef50_Q02419, UniRef:UniRef90_Q02419
contig_4	cds	578	1201	-	EOLKCF_00030		Mannitol-1-phosphate 5-dehydrogenase	SO:0001217, UniRef:UniRef50_I7K153
contig_5	cds	195	1616	-	EOLKCF_00035	rqcH	Ribosome quality control (RQC) protein RqcH, Rqc2/NEMF/Tae2 family, contains fibronectin-(FbpA) and RNA- (NFACT) binding domains	COG:COG1293, COG:JO, SO:0001217, UniRef:UniRef50_Q8DQ36, UniRef:UniRef90_Q8DTA9
contig_6	cds	189	716	-	EOLKCF_00040	lytT	DNA-binding response regulator, LytR/AlgR family	COG:COG3279, COG:KT, SO:0001217, UniRef:UniRef50_Q8DU77, UniRef:UniRef90_Q8DU77
contig_6	cds	880	1311	-	EOLKCF_00045		Putative cell surface hydrolase (Putative)	SO:0001217, UniRef:UniRef50_A0A0R1QEJ8
contig_7	cds	376	1470	-	EOLKCF_00050	wecB	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	COG:COG0381, COG:M, EC:5.1.3.14, GO:0008761, GO:0009103, KEGG:K01791, SO:0001217, UniRef:UniRef50_W8YP07, UniRef:UniRef90_A0A1L7LID5
contig_8	cds	852	1073	+	EOLKCF_00055		hypothetical protein	
contig_8	cds	1310	1852	-	EOLKCF_00060	hpt	hypoxanthine phosphoribosyltransferase	COG:COG0634, COG:F, EC:2.4.2.8, GO:0000166, GO:0004422, GO:0005737, GO:0006166, GO:0032263, GO:0032264, GO:0046872, GO:0052657, RefSeq:WP_002262637.1, SO:0001217, UniParc:UPI00000E2CC0, UniRef:UniRef100_Q8DWM8, UniRef:UniRef50_Q8DWM8, UniRef:UniRef90_Q8DWM8
contig_8	cds	1856	3127	-	EOLKCF_00065	tilS	tRNA(Ile)-lysidine synthase	COG:COG0037, COG:J, EC:6.3.4.19, GO:0005524, GO:0005737, GO:0006400, GO:0016879, KEGG:K04075, SO:0001217, UniRef:UniRef50_P0DG00, UniRef:UniRef90_Q8DWM9
contig_8	cds	3124	4359	-	EOLKCF_00070	penP	Beta-lactamase class A	COG:COG2367, COG:V, SO:0001217, UniRef:UniRef50_Q9A202, UniRef:UniRef90_Q8DWN0
contig_8	cds	4369	4488	-	EOLKCF_00075		SP_0009 family protein	RefSeq:WP_002264629.1, SO:0001217, UniParc:UPI0001B0547C, UniRef:UniRef100_A0A2J9QBT6, UniRef:UniRef50_Q8DWN1, UniRef:UniRef90_Q8DWN1
contig_8	cds	4488	4859	-	EOLKCF_00080	ftsB	Cell division protein FtsB	COG:COG2919, COG:D, RefSeq:WP_002262641.1, SO:0001217, UniParc:UPI00000E2CBC, UniRef:UniRef100_A0A2J9QBT1, UniRef:UniRef50_G5JPQ4, UniRef:UniRef90_A0A2J9QBT1
contig_8	cds	4846	5118	-	EOLKCF_00085	hslR	Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain	COG:COG1188, COG:J, SO:0001217, UniRef:UniRef50_P64405, UniRef:UniRef90_Q8DWN3
contig_8	cds	5249	6859	-	EOLKCF_00090		Transcription-repair-coupling factor	SO:0001217, UniRef:UniRef50_A0A7Z7VZ11
contig_9	cds	49	714	+	EOLKCF_00095		N-acetylglucosamine-1-phosphate uridyltransferase / Glucosamine-1-phosphate N-acetyltransferase	SO:0001217, UniRef:UniRef50_A0A656YYL9
contig_9	cds	724	1275	+	EOLKCF_00100		Nudix hydrolase domain-containing protein	SO:0001217, UniRef:UniRef50_Q8KP10, UniRef:UniRef90_J3AIA4
contig_9	cds	1286	1609	+	EOLKCF_00105	macP	cell wall synthase accessory phosphoprotein MacP	RefSeq:WP_002270514.1, SO:0001217, UniParc:UPI0002B54906, UniRef:UniRef100_UPI0002B54906, UniRef:UniRef50_A0A1G6CTW2, UniRef:UniRef90_Q8DSX4
contig_9	cds	1620	2312	+	EOLKCF_00110	mtnN	5'-methylthioadenosine/adenosylhomocysteine nucleosidase	COG:COG0775, COG:FH, EC:3.2.2.9, GO:0008782, GO:0008930, GO:0009116, GO:0009164, GO:0019509, RefSeq:WP_002265260.1, SO:0001217, UniParc:UPI0001B0573E, UniRef:UniRef100_A0A829BQA2, UniRef:UniRef50_S0JRW4, UniRef:UniRef90_Q8DSX5
contig_9	cds	2372	2842	-	EOLKCF_00115		peptidylprolyl isomerase	SO:0001217, UniRef:UniRef50_UPI0022FD5157
contig_10	cds	75	191	-	EOLKCF_00120	rpmJ	50S ribosomal protein L36	COG:COG0257, COG:J, GO:0000315, GO:0003735, GO:0005840, GO:0006412, GO:0022625, GO:1990904, RefSeq:WP_000868345.1, SO:0001217, UniParc:UPI000000AA9F, UniRef:UniRef100_P66306, UniRef:UniRef50_Q06FN0, UniRef:UniRef90_P0A493
contig_10	cds	217	435	-	EOLKCF_00125	infA	translation initiation factor IF-1	COG:COG0361, COG:J, GO:0003743, GO:0005737, GO:0006413, GO:0019843, GO:0043022, RefSeq:WP_002262318.1, SO:0001217, UniParc:UPI00000E32F6, UniRef:UniRef100_Q8DS34, UniRef:UniRef50_Q85C77, UniRef:UniRef90_Q8DS34
contig_10	cds	554	1192	-	EOLKCF_00130	adk	adenylate kinase	COG:COG0563, COG:F, EC:2.7.4.3, GO:0004017, GO:0005524, GO:0005737, GO:0016310, GO:0044209, SO:0001217, UniRef:UniRef50_Q5XEB4, UniRef:UniRef90_Q8DS33
contig_11	cds	138	980	+	EOLKCF_00135	bglG	Transcriptional antiterminator	COG:COG3711, COG:K, KEGG:K03488, SO:0001217, UniRef:UniRef50_A0A0Z8GS22, UniRef:UniRef90_A0A1L7LJS4
contig_12	cds	71	463	+	EOLKCF_00140		FAD dependent oxidoreductase domain-containing protein	SO:0001217, UniRef:UniRef50_D3H7S4
