# Annotated with Bakta
# Software: v1.9.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	308	1237	-	EEMAJC_00005	rnz	ribonuclease Z	COG:COG1234, COG:J, EC:3.1.26.11, GO:0008270, GO:0016891, GO:0042780, GO:0042781, KEGG:K00784, RefSeq:WP_002267176.1, SO:0001217, UniParc:UPI000264EE03, UniRef:UniRef100_A0A2J9QE93, UniRef:UniRef50_P60199, UniRef:UniRef90_Q8DT90
contig_1	cds	1265	1900	-	EEMAJC_00010		Cystathionine beta-lyase	RefSeq:WP_019323703.1, SO:0001217, UniParc:UPI000315C518, UniRef:UniRef100_UPI000315C518, UniRef:UniRef50_A0A0M4I008, UniRef:UniRef90_Q8DT89
contig_1	cds	1887	3134	-	EEMAJC_00015	hflX	GTPase HflX	COG:COG2262, COG:J, GO:0005525, GO:0008150, RefSeq:WP_002276123.1, SO:0001217, UniParc:UPI000264EE01, UniRef:UniRef100_A0A829BP24, UniRef:UniRef50_A0A3S5E1C9, UniRef:UniRef90_A0A2J9QDD8
contig_1	cds	3323	4207	-	EEMAJC_00020	miaA	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	COG:COG0324, COG:J, EC:2.5.1.75, GO:0005524, GO:0005737, GO:0006400, GO:0008033, GO:0052381, SO:0001217, UniRef:UniRef50_Q97RW5, UniRef:UniRef90_Q8DT87
contig_2	cds	294	764	-	EEMAJC_00025	pncA	Nicotinamidase-related amidase	COG:COG1335, COG:HR, RefSeq:WP_002270349.1, SO:0001217, UniParc:UPI0002B55369, UniRef:UniRef100_UPI0002B55369, UniRef:UniRef50_T1ZGT6, UniRef:UniRef90_T1ZGT6
contig_2	cds	774	1217	-	EEMAJC_00030	dut	dUTP diphosphatase	COG:COG0756, COG:FV, EC:3.6.1.23, SO:0001217, UniRef:UniRef50_A3CQS3, UniRef:UniRef90_A0A3R9JDP6
contig_3	cds	52	951	+	EEMAJC_00035		class I tRNA ligase family protein	SO:0001217, UniRef:UniRef50_UPI00051702B2, UniRef:UniRef90_UPI00051702B2
contig_3	cds	948	2045	+	EEMAJC_00040		hypothetical protein	RefSeq:WP_002279287.1, SO:0001217, UniParc:UPI0002B5E870, UniRef:UniRef100_UPI0002B5E870, UniRef:UniRef50_A0A0F2CRT5, UniRef:UniRef90_UPI0015D2D05B
contig_4	cds	123	758	-	EEMAJC_00045	trmB	tRNA (guanosine(46)-N7)-methyltransferase TrmB	COG:COG0220, COG:J, EC:2.1.1.33, GO:0006400, GO:0008176, RefSeq:WP_002265651.1, SO:0001217, UniParc:UPI000264F090, UniRef:UniRef100_UPI000264F090, UniRef:UniRef50_Q8Y6R8, UniRef:UniRef90_Q8DVQ4
contig_4	cds	768	1550	-	EEMAJC_00050	cotS	Thiamine kinase or a related kinase	COG:COG0510, COG:H, RefSeq:WP_002262606.1, SO:0001217, UniParc:UPI00000E2E03, UniRef:UniRef100_A0A2J9QFU5, UniRef:UniRef50_A0A0H2ZQL5, UniRef:UniRef90_J3AM39
contig_4	cds	1609	2178	-	EEMAJC_00055		hypothetical protein	
