# Annotated with Bakta
# Software: v1.9.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	3	230	+	CEEJIN_00005		transposase	SO:0001217, UniRef:UniRef50_UPI001454E734, UniRef:UniRef90_UPI001454E734
contig_1	cds	303	1094	+	CEEJIN_00010		IS3 family transposase	GO:0004803, RefSeq:WP_023470695.1, SO:0001217, UniParc:UPI000346A954, UniRef:UniRef100_UPI000346A954, UniRef:UniRef50_A0A380KW91, UniRef:UniRef90_Q8DUN1
contig_1	cds	2304	2903	+	CEEJIN_00015	ubiE	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG	COG:COG2226, COG:H, RefSeq:WP_002263794.1, SO:0001217, UniParc:UPI00000E310C, UniRef:UniRef100_Q8DTH5, UniRef:UniRef50_A0A0E1R6H7, UniRef:UniRef90_Q8DTH5
contig_1	cds	2916	3617	+	CEEJIN_00020	lolD	mutanobactin A system ABC transporter ATP-binding subunit MubX	BlastRules:WP_002263277, COG:COG1136, COG:M, RefSeq:WP_002265149.1, SO:0001217, UniParc:UPI000268A8BA, UniRef:UniRef100_A0A2J9QDL9, UniRef:UniRef50_A0A654CH71, UniRef:UniRef90_Q8CM14
contig_1	cds	3619	5964	+	CEEJIN_00025	lolE	mutanobactin A system ABC transporter permease subunit MubY	BlastRules:WP_011074618, COG:COG4591, COG:M, SO:0001217, UniRef:UniRef50_Q8DTH6, UniRef:UniRef90_Q8DTH6
contig_1	cds	6449	6679	+	CEEJIN_00030		Transposase	SO:0001217, UniRef:UniRef50_C0CKV2, UniRef:UniRef90_A0A4U9XGX8
contig_1	cds	7320	7901	+	CEEJIN_00035	acrR	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	COG:COG1309, COG:K, RefSeq:WP_002263281.1, SO:0001217, UniParc:UPI00000E3109, UniRef:UniRef100_Q8DTH8, UniRef:UniRef50_A0A074ISE5, UniRef:UniRef90_Q8DTH8
contig_1	cds	8414	8650	-	CEEJIN_00040		Transposase	SO:0001217, UniParc:UPI00000E3105, UniRef:UniRef100_Q8DTI2, UniRef:UniRef50_Q8DTI2, UniRef:UniRef90_Q8DTI2
contig_1	cds	8741	9031	+	CEEJIN_00045		Transposase	SO:0001217, UniParc:UPI00000E3104, UniRef:UniRef100_Q8DTI3, UniRef:UniRef50_A0A2L0D331, UniRef:UniRef90_Q8DTI3
contig_1	cds	9046	9339	+	CEEJIN_00050		Transposase fregment	SO:0001217, UniParc:UPI00000E3103, UniRef:UniRef100_Q8DTI4, UniRef:UniRef50_D4FTJ0, UniRef:UniRef90_Q8DTI4
