# Annotated with Bakta
# Software: v1.9.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	123	758	-	CIPDOL_00005	trmB	tRNA (guanosine(46)-N7)-methyltransferase TrmB	COG:COG0220, COG:J, EC:2.1.1.33, GO:0006400, GO:0008176, RefSeq:WP_002262605.1, SO:0001217, UniParc:UPI00000E2E04, UniRef:UniRef100_Q8DVQ4, UniRef:UniRef50_Q8Y6R8, UniRef:UniRef90_Q8DVQ4
contig_1	cds	768	1550	-	CIPDOL_00010	cotS	Thiamine kinase or a related kinase	COG:COG0510, COG:H, RefSeq:WP_002262606.1, SO:0001217, UniParc:UPI00000E2E03, UniRef:UniRef100_A0A2J9QFU5, UniRef:UniRef50_A0A0H2ZQL5, UniRef:UniRef90_J3AM39
contig_1	cds	1609	2178	-	CIPDOL_00015		hypothetical protein	
contig_2	cds	68	1222	-	CIPDOL_00020	oadA	oxaloacetate decarboxylase subunit alpha	COG:C, COG:COG5016, EC:4.1.1.112, GO:0003824, SO:0001217, UniRef:UniRef50_A0A239SVU1, UniRef:UniRef90_Q8DUB9
contig_3	cds	819	1034	-	CIPDOL_00025	yozE	UPF0346 protein SMU_1621c	COG:COG4479, COG:S, RefSeq:WP_002262769.1, SO:0001217, UniParc:UPI00000E31CA, UniRef:UniRef100_Q8DSY5, UniRef:UniRef50_Q8DSY5, UniRef:UniRef90_Q8DSY5
contig_3	cds	1031	1540	-	CIPDOL_00030	msrA	Peptide methionine sulfoxide reductase MsrA	COG:COG0225, COG:O, EC:1.8.4.11, GO:0008113, GO:0033744, GO:0036211, RefSeq:WP_002264952.1, SO:0001217, UniParc:UPI0001B05746, UniRef:UniRef100_UPI0001B05746, UniRef:UniRef50_P54154, UniRef:UniRef90_Q8DSY4
contig_3	cds	1609	2469	-	CIPDOL_00035	cvfB	putative RNA-binding protein YitL, contains S1 domains, virulence factor B family	COG:COG2996, COG:R, KEGG:K00243, SO:0001217, UniRef:UniRef50_Q8DSY3, UniRef:UniRef90_Q8DSY3
contig_3	cds	2715	3272	-	CIPDOL_00040	frr	ribosome recycling factor	COG:COG0233, COG:J, GO:0005737, GO:0006412, GO:0006415, GO:0008135, KEGG:K02838, RefSeq:WP_002262766.1, SO:0001217, UniParc:UPI00000E31CD, UniRef:UniRef100_Q8DSY2, UniRef:UniRef50_Q8DSY2, UniRef:UniRef90_Q8DSY2
contig_3	cds	3511	4248	-	CIPDOL_00045	pyrH	UMP kinase	COG:COG0528, COG:F, EC:2.7.4.22, GO:0005524, GO:0005737, GO:0015949, GO:0016310, GO:0033862, GO:0044210, KEGG:K09903, RefSeq:WP_002265266.1, SO:0001217, UniParc:UPI000268AA1A, UniRef:UniRef100_A0A829BTR8, UniRef:UniRef50_Q97R83, UniRef:UniRef90_Q8DSY1
contig_4	cds	304	465	+	CIPDOL_00050		Lantibiotic	RefSeq:WP_002268661.1, SO:0001217, UniParc:UPI0000E866C1, UniRef:UniRef100_A0SXQ2, UniRef:UniRef50_O31051, UniRef:UniRef90_A0SXQ2
contig_4	cds	483	3269	+	CIPDOL_00055	lanM	Lantibiotic biosynthesis protein dehydration domain-containing protein	RefSeq:WP_002293694.1, SO:0001217, UniParc:UPI0000E866C2, UniRef:UniRef100_A0SXQ3, UniRef:UniRef50_A0A380JTG4, UniRef:UniRef90_A0A829BK33
