Sample	Assembly-strategy	Binning-strategy	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_genus	t_species
CGG100272	Antonio	concoct-summary	8974409	870	26157	34.914468980475874	100.0	156.33802816901408	Streptococcus	mutans
CGG100272	Antonio	metabat-summary	1915256	71	41731	36.72073698301004	97.1830985915493	0.0	Streptococcus	mutans
CGG100272	meta_sensitive	concoct-summary	2152027	207	18002	36.69160867418263	100.0	4.225352112676056	Streptococcus	mutans
CGG100272	meta_sensitive	metabat-summary	1905430	131	18878	36.735221709524424	100.0	1.408450704225352	Streptococcus	mutans
CGG100272	old_megahit	concoct-summary	2160399	289	12567	36.717458796683864	100.0	8.450704225352112	Streptococcus	mutans
CGG100272	old_megahit	metabat-summary	1838512	166	14694	37.245094919241254	97.1830985915493	2.816901408450704	Streptococcus	mutans
CGG100534	Antonio	concoct-summary	1737788	638	3262	37.07495181293811	92.95774647887323	5.633802816901408	Streptococcus	mutans
CGG100534	Antonio	metabat-summary	942518	210	4666	36.933430556937324	50.70422535211268	4.225352112676056	Streptococcus	mutans
CGG100534	meta_sensitive	concoct-summary	1698384	636	3162	36.96555188869816	92.95774647887323	5.633802816901408	Streptococcus	mutans
CGG100534	old_megahit	concoct-summary	1670726	674	2828	37.06080539068367	91.54929577464789	5.633802816901408	Streptococcus	mutans
CGG100534	old_megahit	metabat-summary	6453697	1319	5229	68.50111421558806	84.50704225352112	16.901408450704224	Streptococcus	mutans
CGG101233	Antonio	concoct-summary	2096550	29	145777	37.916805360966684	100.0	1.408450704225352	Streptococcus	mutans
CGG101233	meta_sensitive	concoct-summary	1931708	19	145777	36.79660416322807	100.0	0.0	Streptococcus	mutans
CGG101233	meta_sensitive	metabat-summary	1920054	18	134175	36.821175446457566	98.59154929577464	0.0	Streptococcus	mutans
CGG101233	old_megahit	concoct-summary	2122453	38	95357	38.14523128682244	100.0	0.0	Streptococcus	mutans
CGG101233	old_megahit	metabat-summary	735036	12	72907	36.878437558380895	71.83098591549296	0.0	Streptococcus	mutans
CGG101233	old_megahit	metabat-summary	298281	5	80191	36.58162067595953	0.0	0.0	Streptococcus	mutans
CGG101233	old_megahit	metabat-summary	911936	10	95357	36.677538433791185	0.0	0.0	Streptococcus	mutans
NEO105	Antonio	concoct-summary	2127254	283	12125	36.817603692509046	98.59154929577464	0.0	Streptococcus	mutans
NEO105	Antonio	metabat-summary	1869533	201	12337	36.65075248032601	98.59154929577464	0.0	Streptococcus	mutans
NEO105	meta_sensitive	concoct-summary	1930078	193	14238	36.65636087523235	98.59154929577464	0.0	Streptococcus	mutans
NEO105	meta_sensitive	metabat-summary	1871361	166	14337	36.60135361278796	94.36619718309859	0.0	Streptococcus	mutans
NEO105	old_megahit	concoct-summary	2293327	309	11710	36.79299102182084	97.1830985915493	0.0	Streptococcus	mutans
NEO105	old_megahit	concoct-summary	1847104	175	14269	36.545328536846306	71.83098591549296	0.0	Streptococcus	mutans
NEO137	Antonio	concoct-summary	2081431	90	37071	36.11567328680733	100.0	0.0	Streptococcus	mutans
NEO137	Antonio	metabat-summary	1954442	68	37240	36.69514493450687	64.78873239436619	0.0	Streptococcus	mutans
NEO137	meta_sensitive	concoct-summary	2146724	88	45602	36.06934388550369	100.0	1.408450704225352	Streptococcus	mutans
NEO137	meta_sensitive	metabat-summary	772815	25	40000	36.70343053963159	33.80281690140845	0.0	Streptococcus	mutans
NEO137	meta_sensitive	metabat-summary	1123933	37	49727	36.59957455179861	30.985915492957748	0.0	Streptococcus	mutans
NEO137	old_megahit	concoct-summary	2150915	65	66557	35.983867277631504	100.0	0.0	Streptococcus	mutans
NEO137	old_megahit	metabat-summary	1934043	43	68379	36.482516209086484	100.0	0.0	Streptococcus	mutans
NEO938	Antonio	concoct-summary	1763655	485	4883	37.04614309982107	98.59154929577464	4.225352112676056	Streptococcus	mutans
NEO938	Antonio	metabat-summary	1322754	241	5968	36.90968580517537	63.38028169014085	2.816901408450704	Streptococcus	mutans
NEO938	meta_sensitive	concoct-summary	3840464	993	5493	36.35316943443885	0.0	0.0	Streptococcus	mutans
NEO938	meta_sensitive	metabat-summary	916178	209	4523	36.5683800934884	42.25352112676056	0.0	Streptococcus	mutans
NEO938	old_megahit	concoct-summary	1515841	745	2139	37.112019660778586	85.91549295774648	8.450704225352112	Streptococcus	mutans
VK63	Antonio	concoct-summary	1585164	692	2555	37.006231520184215	84.50704225352112	2.816901408450704	Streptococcus	mutans
VK63	Antonio	metabat-summary	761526	195	3988	37.6857028920039	25.35211267605634	0.0	Streptococcus	mutans
VK63	meta_sensitive	metabat-summary	651977	178	3636	37.71507664798096	32.394366197183096	0.0	Streptococcus	mutans
